"Astronomical Low Tide","Astronomical High Tide","Avalanche","Blizzard","Coastal Flood","Cold/Wind Chill","Debris Flow","Dense Fog","Dense Smoke","Drought","Dust Devil","Dust Storm","Excessive Heat","Extreme Cold/Wind Chill","Flash Flood","Flood","Frost/Freeze","Funnel Cloud","Freezing Fog","Hail","Heat","Heavy Rain","Heavy Snow","High Surf","High Wind","Hurricane (Typhoon)","Ice Storm","Lake-Effect Snow","Lakeshore Flood","Lightning","Marine Hail","Marine High Wind","Marine Strong Wind","Marine Thunderstorm Wind","Rip Current","Seiche","Sleet","Storm Surge/Tide","Strong Wind","Thunderstorm Wind","Tornado","Tropical Depression","Tropical Storm","Tsunami","Volcanic Ash","Waterspout","Wildfire","Winter Storm","Winter Weather","Unknown"
NA,NA,NA,NA,"CSTL FLOODING/EROSION","UNSEASONABLY COLD","MUDSLIDES",NA,NA,"DRY",NA,NA,"HOT SPELL","EXTREME WINDCHILL","FLASH FLOOD/","HEAVY RAIN AND FLOOD","FREEZING RAIN AND SNOW",NA,NA,"HAIL 150","WARM WEATHER","HEAVY RAIN AND WIND","HEAVY SNOW ANDBLOWING SNOW","HIGH SURF ADVISORY","GUSTY WIND","REMNANTS OF FLOYD",NA,NA,NA,"LIGHTNING/HEAVY RAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEVERE THUNDERSTORMS","""TORNADOES",NA,NA,NA,NA,"WAYTERSPOUT",NA,"WINTER STORMS","FALLING SNOW/ICE","MILD PATTERN"
NA,NA,NA,NA,"EROSION/CSTL FLOOD","UNSEASONABLY COOL & WET","ROCK SLIDE",NA,NA,"DRYNESS",NA,NA,"HOT WEATHER","EXTREME/RECORD COLD","FLASH FLOOD/FLOOD","HEAVY RAIN/MUDSLIDES/FLOOD","FREEZING RAIN SLEET AND LIGHT",NA,NA,"HAIL 175",NA,"HEAVY RAIN EFFECTS","HEAVY SNOW SHOWER","HIGH SURF","GUSTY WIND/HAIL","TYPHOON",NA,NA,NA,"LIGNTNING",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEVERE TURBULENCE"," TSTM WIND",NA,NA,NA,NA,NA,NA,NA,"FIRST FROST","MILD/DRY PATTERN"
NA,NA,NA,NA,NA,"UNSEASONABLY COOL",NA,NA,NA,"EXCESSIVELY DRY",NA,NA,"HOT/DRY PATTERN","HIGH WIND/WIND CHILL","FLASH FLOOD/HEAVY RAIN","HEAVY RAIN/URBAN FLOOD","FREEZING RAIN SLEET AND",NA,NA,"HAIL 200",NA,"HEAVY RAIN","HEAVY SNOW SQUALLS","HIGH SWELLS","GUSTY WIND/HVY RAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUDERSTORM WINDS"," HAIL""",NA,NA,NA,NA,NA,NA,NA,"FIRST SNOW","MIXED PRECIPITATION"
NA,NA,NA,NA,NA,"UNSEASONAL LOW TEMP",NA,NA,NA,"HEAT DROUGHT",NA,NA,"PROLONG WARMTH","HIGH WIND/WIND CHILL/BLIZZARD","FLASH FLOOD/LANDSLIDE","HEAVY RAIN; URBAN FLOOD WINDS;","FREEZING RAIN",NA,NA,"HAIL 225",NA,"HEAVY RAIN/FLOODING","HEAVY SNOW","HIGH WAVES","GUSTY WIND/RAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDEERSTORM WINDS","TORNADOS",NA,NA,NA,NA,NA,NA,NA,"HEAVY SNOWPACK","MIXED PRECIP"
NA,NA,NA,NA,NA,"UNUSUALLY COLD",NA,NA,NA,"HEAT WAVE DROUGHT",NA,NA,"RECORD HEAT WAVE","HIGH WINDS AND WIND CHILL","FLASH FLOODING","HIGH WATER","FREEZING RAIN/SLEET",NA,NA,"HAIL 275",NA,"HEAVY RAIN/HIGH SURF","HEAVY SNOW-SQUALLS","ROUGH SEAS","GUSTY WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERESTORM WINDS","TORNDAO",NA,NA,NA,NA,NA,NA,NA,"HEAVY WET SNOW","MONTHLY PRECIPITATION"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEAT/DROUGHT",NA,NA,"RECORD HEAT","HYPERTHERMIA/EXPOSURE","FLASH FLOODING/FLOOD","HIGHWAY FLOODING","FREEZING RAIN/SNOW",NA,NA,"HAIL 450",NA,"HEAVY RAIN/LIGHTNING","HEAVY SNOW/BLIZZARD","ROUGH SURF","HIGH  WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM  WINDS",NA,NA,NA,NA,NA,NA,NA,NA,"ICE AND SNOW","MONTHLY RAINFALL"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"LACK OF SNOW",NA,NA,"RECORD HIGH TEMPERATURE","HYPOTHERMIA","FLASH FLOODING/THUNDERSTORM WI","ICE JAM FLOOD (MINOR","FREEZING SPRAY",NA,NA,"HAIL 75",NA,"HEAVY RAIN/SEVERE WEATHER","HEAVY SNOW/BLOWING SNOW",NA,"HIGH WIND (G40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM DAMAGE TO",NA,NA,NA,NA,NA,NA,NA,NA,"ICE FLOES","MONTHLY SNOWFALL"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"RECORD DRY MONTH",NA,NA,"RECORD HIGH TEMPERATURES","HYPOTHERMIA/EXPOSURE","FLASH FLOODS","ICE JAM FLOODING","FROST",NA,NA,"HAIL 80",NA,"HEAVY RAIN/SMALL STREAM URBAN","HEAVY SNOW/FREEZING RAIN",NA,"HIGH WIND 48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM DAMAGE",NA,NA,NA,NA,NA,NA,NA,NA,"ICE JAM","MONTHLY TEMPERATURE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"RECORD DRYNESS",NA,NA,"RECORD HIGH","LOW TEMPERATURE RECORD","FLASH FLOOODING","LOCAL FLOOD","FROST/FREEZE",NA,NA,"HAIL 88",NA,"HEAVY RAIN/SNOW","HEAVY SNOW/HIGH WIND",NA,"HIGH WIND 63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM W INDS",NA,NA,NA,NA,NA,NA,NA,NA,"ICE ON ROAD","NO SEVERE WEATHER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"RECORD LOW RAINFALL",NA,NA,"RECORD TEMPERATURE","LOW TEMPERATURE","FLOOD FLASH","MAJOR FLOOD","FROST\FREEZE",NA,NA,"HAIL ALOFT",NA,"HEAVY RAIN/WIND","HEAVY SNOW/HIGH WINDS & FLOOD",NA,"HIGH WIND 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM DAMAGE TO",NA,NA,NA,NA,NA,NA,NA,NA,"ICE PELLETS","NONE"
