"Astronomical Low Tide","Astronomical High Tide","Avalanche","Blizzard","Coastal Flood","Cold/Wind Chill","Debris Flow","Dense Fog","Dense Smoke","Drought","Dust Devil","Dust Storm","Excessive Heat","Extreme Cold/Wind Chill","Flash Flood","Flood","Frost/Freeze","Funnel Cloud","Freezing Fog","Hail","Heat","Heavy Rain","Heavy Snow","High Surf","High Wind","Hurricane (Typhoon)","Ice Storm","Lake-Effect Snow","Lakeshore Flood","Lightning","Marine Hail","Marine High Wind","Marine Strong Wind","Marine Thunderstorm Wind","Rip Current","Seiche","Sleet","Storm Surge/Tide","Strong Wind","Thunderstorm Wind","Tornado","Tropical Depression","Tropical Storm","Tsunami","Volcanic Ash","Waterspout","Wildfire","Winter Storm","Winter Weather","Unknown"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SML STREAM FLD",NA,NA,NA,NA,NA,"RAIN/SNOW","NEAR RECORD SNOW",NA,"HIGH WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND G50",NA,NA,NA,NA,NA,NA,NA,NA,"LIGHT SNOWFALL","SUMMARY AUGUST 9"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNOWMELT FLOODING",NA,NA,NA,NA,NA,"RAINSTORM","RECORD SNOW",NA,"HIGH WINDS/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND G51",NA,NA,NA,NA,NA,NA,NA,NA,"MODERATE SNOW","SUMMARY JAN 17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STREAM FLOODING",NA,NA,NA,NA,NA,"RECORD PRECIPITATION","RECORD SNOW/COLD",NA,"HIGH WINDS/COASTAL FLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND G52",NA,NA,NA,NA,NA,NA,NA,NA,"MODERATE SNOWFALL","SUMMARY JULY 23-24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STREET FLOOD",NA,NA,NA,NA,NA,"RECORD RAINFALL","RECORD SNOWFALL",NA,"HIGH WINDS/COLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND G55",NA,NA,NA,NA,NA,NA,NA,NA,"SEASONAL SNOWFALL","SUMMARY JUNE 18-19"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STREET FLOODING",NA,NA,NA,NA,NA,"RECORD/EXCESSIVE RAINFALL","RECORD WINTER SNOW",NA,"HIGH WINDS/FLOODING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND G60",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW SHOWERS","SUMMARY JUNE 5-6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN AND SMALL STREAM FLOOD",NA,NA,NA,NA,NA,"TORRENTIAL RAIN","RECORD MAY SNOW",NA,"MICROBURST WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND G61",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW SLEET","SUMMARY JUNE 6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN AND SMALL STREAM FLOODIN",NA,NA,NA,NA,NA,"TORRENTIAL RAINFALL","SNOW ACCUMULATION",NA,"MICROBURST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND TREES",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW","SUMMARY OF APRIL 12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN AND SMALL STREAM",NA,NA,NA,NA,NA,"TSTM HEAVY RAIN","SNOW ADVISORY",NA,"STORM FORCE WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/ ICE","SUMMARY OF APRIL 13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN AND SMALL",NA,NA,NA,NA,NA,"UNSEASONAL RAIN","SNOW AND COLD",NA,"STRONG WIND GUST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND.",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/BLOWING SNOW","SUMMARY OF APRIL 21"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN FLOOD LANDSLIDE",NA,NA,NA,NA,NA,"WET MICOBURST","SNOW AND HEAVY SNOW",NA,"STRONG WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND/ TREE",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/COLD","SUMMARY OF APRIL 27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN FLOOD",NA,NA,NA,NA,NA,"WET MICROBURST","SNOW AND ICE STORM",NA,"STRONG WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND/ TREES",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/FREEZING RAIN","SUMMARY OF APRIL 3RD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN FLOODING",NA,NA,NA,NA,NA,"WET MONTH","SNOW AND ICE",NA,"WIND ADVISORY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND/AWNING",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/HEAVY SNOW","SUMMARY OF AUGUST 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN FLOODS",NA,NA,NA,NA,NA,"WET WEATHER","SNOW AND SLEET",NA,"WIND AND WAVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND/HAIL",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/HIGH WINDS","SUMMARY OF JULY 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN SMALL STREAM FLOOD",NA,NA,NA,NA,NA,"WET YEAR","SNOW AND WIND",NA,"WIND DAMAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND/LIGHTNING",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/ICE","SUMMARY OF JULY 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN SMALL",NA,NA,NA,NA,NA,"UNSEASONABLY WET","SNOW SQUALL",NA,"WIND GUSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS      LE CEN",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/RAIN","SUMMARY OF JULY 22"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SMALL FLOODING",NA,NA,NA,NA,NA,NA,"SNOW SQUALLS",NA,"WIND STORM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 13",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/RAIN/SLEET","SUMMARY OF JULY 26"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SMALL STREAM  FLOOD",NA,NA,NA,NA,NA,NA,"SNOWFALL RECORD",NA,"WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 2",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/SLEET","SUMMARY OF JULY 29"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SMALL STREAM FLOOD",NA,NA,NA,NA,NA,NA,NA,NA,"WIND/HAIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 50",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/SLEET/FREEZING RAIN","SUMMARY OF JULY 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SMALL STREAM FLOODING",NA,NA,NA,NA,NA,NA,NA,NA,"WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 52",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/SLEET/RAIN","SUMMARY OF JUNE 10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SMALL STREAM",NA,NA,NA,NA,NA,NA,NA,NA,"WND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 53",NA,NA,NA,NA,NA,NA,NA,NA,"SNOW\COLD","SUMMARY OF JUNE 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SMALL STRM FLDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 60",NA,NA,NA,NA,NA,NA,NA,NA,"UNUSUALLY LATE SNOW","SUMMARY OF JUNE 12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 61",NA,NA,NA,NA,NA,NA,NA,NA,"WET SNOW","SUMMARY OF JUNE 13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SML STREAM FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 62",NA,NA,NA,NA,NA,NA,NA,NA,"WINTER MIX","SUMMARY OF JUNE 15"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/SML STREAM FLDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS 63 MPH",NA,NA,NA,NA,NA,NA,NA,NA,"WINTER WEATHER MIX","SUMMARY OF JUNE 16"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN/STREET FLOODING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS AND",NA,NA,NA,NA,NA,NA,NA,NA,"WINTER WEATHER","SUMMARY OF JUNE 18"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS FUNNEL CLOU",NA,NA,NA,NA,NA,NA,NA,NA,"WINTER WEATHER/MIX","SUMMARY OF JUNE 23"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS G",NA,NA,NA,NA,NA,NA,NA,NA,"WINTERY MIX","SUMMARY OF JUNE 24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS G60",NA,NA,NA,NA,NA,NA,NA,NA,"WINTRY MIX","SUMMARY OF JUNE 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS HAIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF JUNE 30"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS HEAVY RAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF JUNE 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS LIGHTNING",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF JUNE 6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS SMALL STREA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MARCH 14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS URBAN FLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MARCH 23"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MARCH 24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MARCH 24-25"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS/ FLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MARCH 27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS/ HAIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MARCH 29"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS/FLASH FLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS/FLOODING",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS/FUNNEL CLOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS/HAIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 22 AM"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS/HEAVY RAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 22 PM"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDS53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 22"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDSHAIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 26 AM"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINDSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 26 PM"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 31 AM"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 31 PM"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORMS WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY OF MAY 9-10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORMS WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY SEPT. 25-26"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY SEPTEMBER 20"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORMW 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY SEPTEMBER 23"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORMW WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY SEPTEMBER 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORMW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY SEPTEMBER 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORMWINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY: NOV. 16"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTROM WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY: NOV. 6-7"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTROM WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY: OCT. 20-21"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERTORM WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY: OCTOBER 31"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERTSORM WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMARY: SEPT. 18"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDESTORM WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEACH EROSIN"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNERSTORM WINDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEACH EROSION"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND  (G45)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"COASTAL EROSION"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND (41)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND (G35)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND (G40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND (G45)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND 51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND 52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSTM WIND 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
