Astronomical Low Tide,Astronomical High Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Frost/Freeze,Funnel Cloud,Freezing Fog,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind ,Hurricane (Typhoon),Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Hail,Marine High Wind,Marine Strong Wind,Marine Thunderstorm Wind,Rip Current,Seiche,Sleet,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Volcanic Ash,Waterspout,Wildfire,Winter Storm,Winter Weather,Unknown
,,,,,,,,,,,,,,,URBAN/SML STREAM FLD,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS 62,,,,,,,,,WINTER MIX,SUMMARY OF JUNE 16
,,,,,,,,,,,,,,,URBAN/SML STREAM FLDG,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS 63 MPH,,,,,,,,,WINTER WEATHER MIX,SUMMARY OF JUNE 18
,,,,,,,,,,,,,,,URBAN/STREET FLOODING,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS AND,,,,,,,,,WINTER WEATHER,SUMMARY OF JUNE 23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS FUNNEL CLOU,,,,,,,,,WINTER WEATHER/MIX,SUMMARY OF JUNE 24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS G,,,,,,,,,WINTERY MIX,SUMMARY OF JUNE 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS G60,,,,,,,,,WINTRY MIX,SUMMARY OF JUNE 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS HAIL,,,,,,,,,,SUMMARY OF JUNE 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS HEAVY RAIN,,,,,,,,,,SUMMARY OF JUNE 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS LIGHTNING,,,,,,,,,,SUMMARY OF MARCH 14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS SMALL STREA,,,,,,,,,,SUMMARY OF MARCH 23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS URBAN FLOOD,,,,,,,,,,SUMMARY OF MARCH 24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS,,,,,,,,,,SUMMARY OF MARCH 24-25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS.,,,,,,,,,,SUMMARY OF MARCH 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS/ FLOOD,,,,,,,,,,SUMMARY OF MARCH 29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS/ HAIL,,,,,,,,,,SUMMARY OF MAY 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS/FLASH FLOOD,,,,,,,,,,SUMMARY OF MAY 13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS/FLOODING,,,,,,,,,,SUMMARY OF MAY 14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS/FUNNEL CLOU,,,,,,,,,,SUMMARY OF MAY 22 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS/HAIL,,,,,,,,,,SUMMARY OF MAY 22 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS/HEAVY RAIN,,,,,,,,,,SUMMARY OF MAY 22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS53,,,,,,,,,,SUMMARY OF MAY 26 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDSHAIL,,,,,,,,,,SUMMARY OF MAY 26 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDSS,,,,,,,,,,SUMMARY OF MAY 31 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINS,,,,,,,,,,SUMMARY OF MAY 31 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM,,,,,,,,,,SUMMARY OF MAY 9-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORMS WIND,,,,,,,,,,SUMMARY SEPT. 25-26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORMS WINDS,,,,,,,,,,SUMMARY SEPTEMBER 20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORMS,,,,,,,,,,SUMMARY SEPTEMBER 23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORMW 50,,,,,,,,,,SUMMARY SEPTEMBER 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORMW WINDS,,,,,,,,,,SUMMARY SEPTEMBER 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORMW,,,,,,,,,,SUMMARY: NOV. 16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORMWINDS,,,,,,,,,,SUMMARY: NOV. 6-7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTROM WIND,,,,,,,,,,SUMMARY: OCT. 20-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTROM WINDS,,,,,,,,,,SUMMARY: OCTOBER 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERTORM WINDS,,,,,,,,,,SUMMARY: SEPT. 18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDERTSORM WIND,,,,,,,,,,BEACH EROSIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNDESTORM WINDS,,,,,,,,,,BEACH EROSION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUNERSTORM WINDS,,,,,,,,,,COASTAL EROSION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND  (G45),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND (41),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND (G35),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND (G40),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND (G45),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND 40,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND 45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND 50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND 51,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND 52,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND 55,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND 65),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND AND LIGHTNING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND DAMAGE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND G45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND G58,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WIND/HAIL,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WINDS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM WND,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTM,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTMW,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUNDERSTORM WIND,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAKE LOW WIND,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALL CLOUD,,,,,,,,,,
