Astronomical Low Tide,Astronomical High Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Frost/Freeze,Funnel Cloud,Freezing Fog,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind ,Hurricane (Typhoon),Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Hail,Marine High Wind,Marine Strong Wind,Marine Thunderstorm Wind,Rip Current,Seiche,Sleet,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Volcanic Ash,Waterspout,Wildfire,Winter Storm,Winter Weather,Unknown
,,,,CSTL FLOODING/EROSION,UNSEASONABLY COLD,MUDSLIDES,,,DRY,,,HOT SPELL,EXTREME WINDCHILL,FLASH FLOOD/,HEAVY RAIN AND FLOOD,FREEZING RAIN AND SNOW,,,HAIL 150,WARM WEATHER,HEAVY RAIN AND WIND,HEAVY SNOW ANDBLOWING SNOW,HIGH SURF ADVISORY,GUSTY WIND,REMNANTS OF FLOYD,,,,LIGHTNING/HEAVY RAIN,,,,,,,,,,SEVERE THUNDERSTORMS,"TORNADOES, TSTM WIND, HAIL",,,,,WAYTERSPOUT,,WINTER STORMS,FALLING SNOW/ICE,MILD/DRY PATTERN
,,,,EROSION/CSTL FLOOD,UNSEASONABLY COOL & WET,ROCK SLIDE,,,DRYNESS,,,HOT WEATHER,EXTREME/RECORD COLD,FLASH FLOOD/FLOOD,HEAVY RAIN/MUDSLIDES/FLOOD,FREEZING RAIN SLEET AND LIGHT,,,HAIL 175,,HEAVY RAIN EFFECTS,HEAVY SNOW SHOWER,HIGH SURF,GUSTY WIND/HAIL,TYPHOON,,,,LIGNTNING,,,,,,,,,,SEVERE TURBULENCE,TORNADOS,,,,,,,,FIRST FROST,MIXED PRECIPITATION
,,,,,UNSEASONABLY COOL,,,,EXCESSIVELY DRY,,,HOT/DRY PATTERN,HIGH WIND/WIND CHILL,FLASH FLOOD/HEAVY RAIN,HEAVY RAIN/URBAN FLOOD,FREEZING RAIN SLEET AND,,,HAIL 200,,HEAVY RAIN,HEAVY SNOW SQUALLS,HIGH SWELLS,GUSTY WIND/HVY RAIN,,,,,,,,,,,,,,,THUDERSTORM WINDS,TORNDAO,,,,,,,,FIRST SNOW,MIXED PRECIP
,,,,,UNSEASONAL LOW TEMP,,,,HEAT DROUGHT,,,PROLONG WARMTH,HIGH WIND/WIND CHILL/BLIZZARD,FLASH FLOOD/LANDSLIDE,HEAVY RAIN; URBAN FLOOD WINDS;,FREEZING RAIN,,,HAIL 225,,HEAVY RAIN/FLOODING,HEAVY SNOW,HIGH WAVES,GUSTY WIND/RAIN,,,,,,,,,,,,,,,THUNDEERSTORM WINDS,,,,,,,,,HEAVY SNOWPACK,MONTHLY PRECIPITATION
,,,,,UNUSUALLY COLD,,,,HEAT WAVE DROUGHT,,,RECORD HEAT WAVE,HIGH WINDS AND WIND CHILL,FLASH FLOODING,HIGH WATER,FREEZING RAIN/SLEET,,,HAIL 275,,HEAVY RAIN/HIGH SURF,HEAVY SNOW-SQUALLS,ROUGH SEAS,GUSTY WINDS,,,,,,,,,,,,,,,THUNDERESTORM WINDS,,,,,,,,,HEAVY WET SNOW,MONTHLY RAINFALL
,,,,,,,,,HEAT/DROUGHT,,,RECORD HEAT,HYPERTHERMIA/EXPOSURE,FLASH FLOODING/FLOOD,HIGHWAY FLOODING,FREEZING RAIN/SNOW,,,HAIL 450,,HEAVY RAIN/LIGHTNING,HEAVY SNOW/BLIZZARD,ROUGH SURF,HIGH  WINDS,,,,,,,,,,,,,,,THUNDERSTORM  WINDS,,,,,,,,,ICE AND SNOW,MONTHLY SNOWFALL
,,,,,,,,,LACK OF SNOW,,,RECORD HIGH TEMPERATURE,HYPOTHERMIA,FLASH FLOODING/THUNDERSTORM WI,ICE JAM FLOOD (MINOR,FREEZING SPRAY,,,HAIL 75,,HEAVY RAIN/SEVERE WEATHER,HEAVY SNOW/BLOWING SNOW,,HIGH WIND (G40),,,,,,,,,,,,,,,THUNDERSTORM DAMAGE TO,,,,,,,,,ICE FLOES,MONTHLY TEMPERATURE
,,,,,,,,,RECORD DRY MONTH,,,RECORD HIGH TEMPERATURES,HYPOTHERMIA/EXPOSURE,FLASH FLOODS,ICE JAM FLOODING,FROST,,,HAIL 80,,HEAVY RAIN/SMALL STREAM URBAN,HEAVY SNOW/FREEZING RAIN,,HIGH WIND 48,,,,,,,,,,,,,,,THUNDERSTORM DAMAGE,,,,,,,,,ICE JAM,NO SEVERE WEATHER
,,,,,,,,,RECORD DRYNESS,,,RECORD HIGH,LOW TEMPERATURE RECORD,FLASH FLOOODING,LOCAL FLOOD,FROST/FREEZE,,,HAIL 88,,HEAVY RAIN/SNOW,HEAVY SNOW/HIGH WIND,,HIGH WIND 63,,,,,,,,,,,,,,,THUNDERSTORM W INDS,,,,,,,,,ICE ON ROAD,NONE
,,,,,,,,,RECORD LOW RAINFALL,,,RECORD TEMPERATURE,LOW TEMPERATURE,FLOOD FLASH,MAJOR FLOOD,FROST\\FREEZE,,,HAIL ALOFT,,HEAVY RAIN/WIND,HEAVY SNOW/HIGH WINDS & FLOOD,,HIGH WIND 70,,,,,,,,,,,,,,,THUNDERSTORM DAMAGE TO,,,,,,,,,ICE PELLETS,NORMAL PRECIPITATION
,,,,,,,,,SNOW DROUGHT,,,RECORD TEMPERATURES,LOW WIND CHILL,FLOOD FLOOD/FLASH,MINOR FLOOD,GLAZE ICE,,,HAIL DAMAGE,,HEAVY RAINFALL,HEAVY SNOW/HIGH WINDS,,HIGH WIND AND HEAVY SNOW,,,,,,,,,,,,,,,THUNDERSTORM DAMAGE,,,,,,,,,ICE ROADS,NORTHERN LIGHTS
,,,,,,,,,UNSEASONABLY DRY,,,RECORD WARM TEMPS.,PROLONG COLD,FLOOD/FLASH FLOOD,MINOR FLOODING,GLAZE,,,HAIL FLOODING,,HEAVY RAINS,HEAVY SNOW/HIGH WINDS/FREEZING,,HIGH WIND DAMAGE,,,,,,,,,,,,,,,THUNDERSTORM W INDS,,,,,,,,,ICE,OTHER
